"","kernel","approach","bandwidth","R2","R2adj","RSS","AIC","AICC"
"85","boxcar","CV",450,NA,NA,NA,NA,NA
"86","gaussian","AIC",450,0.555325241259118,0.539981403619543,49203.8788707605,37901.1399108768,38100.4202741643
"87","exponential","AIC",450,0.545367504578183,0.52728969845993,50305.7162470555,38077.8893170838,38273.5295645206
"88","bisquare","AIC",450,NA,NA,NA,NA,NA
"89","tricube","AIC",450,NA,NA,NA,NA,NA
"90","boxcar","AIC",450,NA,NA,NA,NA,NA
"91","gaussian","CV",500,0.547304020560616,0.534471740357837,50091.4380674243,38013.8376676363,38177.5743514867
"92","exponential","CV",500,0.536537828809239,0.521392622757989,51282.7321186858,38202.2899778832,38363.1583186132
"93","bisquare","CV",500,0.645904129965382,0.591411001874036,39181.1991918625,36674.3768226331,37671.4623410034
"94","tricube","CV",500,0.638262041942623,0.589924134195107,40026.8068320538,36789.994712578,37702.9237097148
"95","boxcar","CV",500,0.577881089706852,0.56058931811796,46708.0429524096,37609.5898268188,37957.9844249687
"96","gaussian","AIC",500,0.547304020560616,0.534471740357837,50091.4380674243,38013.8376676363,38177.5743514867
"97","exponential","AIC",500,0.536537828809239,0.521392622757989,51282.7321186858,38202.2899778832,38363.1583186132
"98","bisquare","AIC",500,0.645904129965382,0.591411001874036,39181.1991918625,36674.3768226331,37671.4623410034
"99","tricube","AIC",500,0.638262041942623,0.589924134195107,40026.8068320538,36789.994712578,37702.9237097148
"100","boxcar","AIC",500,0.577881089706852,0.56058931811796,46708.0429524096,37609.5898268188,37957.9844249687
"101","gaussian","CV",550,0.540459708759645,0.529547026662557,50848.7706620655,38111.1997174684,38248.4826250715
"102","exponential","CV",550,0.529009867648738,0.516110733195253,52115.7114632609,38309.1755339683,38444.1849292376
"103","bisquare","CV",550,0.631525315859073,0.584775539221009,40772.2349178284,36869.1269236696,37682.1871376481
"104","tricube","CV",550,0.624564377720921,0.583225492129965,41542.4723784532,36970.7642909981,37714.6150789516
"105","boxcar","CV",550,0.564654377925124,0.549761913571286,48171.5969580594,37809.4388026883,38098.9601220912
"106","gaussian","AIC",550,0.540459708759645,0.529547026662557,50848.7706620655,38111.1997174684,38248.4826250715
"107","exponential","AIC",550,0.529009867648738,0.516110733195253,52115.7114632609,38309.1755339683,38444.1849292376
"108","bisquare","AIC",550,0.631525315859073,0.584775539221009,40772.2349178284,36869.1269236696,37682.1871376481
"109","tricube","AIC",550,0.624564377720921,0.583225492129965,41542.4723784532,36970.7642909981,37714.6150789516
"110","boxcar","AIC",550,0.564654377925124,0.549761913571286,48171.5969580594,37809.4388026883,38098.9601220912
"111","gaussian","CV",600,0.534451531625904,0.525042029689708,51513.5837959609,38197.7372775936,38314.7593480225
"112","exponential","CV",600,0.52246579395164,0.511324573824881,52839.8222952431,38402.7479353973,38517.999349257
"113","bisquare","CV",600,0.61922718042388,0.578602694697845,42133.0406626898,37036.6425154621,37715.0517425679
"114","tricube","CV",600,0.613013801906521,0.577200634518078,42820.5596143208,37124.0125999181,37744.4853676192
"115","boxcar","CV",600,0.557359748506641,0.544535910004156,48978.7578217217,37904.5422344009,38148.8861283083
"116","gaussian","AIC",600,0.534451531625904,0.525042029689708,51513.5837959609,38197.7372775936,38314.7593480225
"117","exponential","AIC",600,0.52246579395164,0.511324573824881,52839.8222952431,38402.7479353973,38517.999349257
"118","bisquare","AIC",600,0.61922718042388,0.578602694697845,42133.0406626898,37036.6425154621,37715.0517425679
"119","tricube","AIC",600,0.613013801906521,0.577200634518078,42820.5596143208,37124.0125999181,37744.4853676192
"120","boxcar","AIC",600,0.557359748506641,0.544535910004156,48978.7578217217,37904.5422344009,38148.8861283083
"121","gaussian","CV",650,0.529055154762567,0.520845628583444,52110.7003812971,38276.3772038841,38377.5314766403
"122","exponential","CV",650,0.516683402698654,0.506942970714749,53479.6519082413,38485.9498215402,38585.7700914743
"123","bisquare","CV",650,0.608620080181175,0.572945777019375,43306.7310178381,37181.2354218679,37757.2551349077
"124","tricube","CV",650,0.60296557411481,0.571581704461915,43932.409957545,37259.0629564824,37786.0384266861
"125","boxcar","CV",650,0.55211189580749,0.541026436516624,49559.4400022704,37967.8317873333,38176.0637401689
"126","gaussian","AIC",650,0.529055154762567,0.520845628583444,52110.7003812971,38276.3772038841,38377.5314766403
"127","exponential","AIC",650,0.516683402698654,0.506942970714749,53479.6519082413,38485.9498215402,38585.7700914743
